"Algorithm","Run_ID","Repeat","Fold_ID","Grid_ID","eta","max_depth","min_child_weight","subsample","colsample_bytree","gamma","scale_pos_weight","Best_Iteration","Inner_CV_Logloss"
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",5,0.03,2,3,0.8,0.8,0,25,123,0.194685043623814
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",6,0.1,2,3,0.8,0.8,0,25,220,0.221651796492202
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",7,0.03,4,3,0.8,0.8,0,25,214,0.205875011572901
"XGBoost","Repeat_05_Fold_03",5,"Fold_03",8,0.1,4,3,0.8,0.8,0,25,40,0.209639734248273
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",1,0.03,2,1,0.8,0.8,0,25,195,0.206577388623443
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",2,0.1,2,1,0.8,0.8,0,25,51,0.179805064806715
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",3,0.03,4,1,0.8,0.8,0,25,245,0.131997558597225
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",4,0.1,4,1,0.8,0.8,0,25,38,0.21023869389095
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",5,0.03,2,3,0.8,0.8,0,25,137,0.189888288034126
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",6,0.1,2,3,0.8,0.8,0,25,87,0.194176863099878
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",7,0.03,4,3,0.8,0.8,0,25,146,0.153763345639723
"XGBoost","Repeat_05_Fold_04",5,"Fold_04",8,0.1,4,3,0.8,0.8,0,25,43,0.172639448016595
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",1,0.03,2,1,0.8,0.8,0,25,130,0.193879142000626
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",2,0.1,2,1,0.8,0.8,0,25,74,0.161471285926662
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",3,0.03,4,1,0.8,0.8,0,25,187,0.183577050096714
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",4,0.1,4,1,0.8,0.8,0,25,50,0.164349944751638
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",5,0.03,2,3,0.8,0.8,0,25,211,0.172391400923236
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",6,0.1,2,3,0.8,0.8,0,25,56,0.224575558095239
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",7,0.03,4,3,0.8,0.8,0,25,130,0.168325561331585
"XGBoost","Repeat_05_Fold_05",5,"Fold_05",8,0.1,4,3,0.8,0.8,0,25,70,0.222023986799356
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",1,0.03,2,1,0.8,0.8,0,25,174,0.188619835342531
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",2,0.1,2,1,0.8,0.8,0,25,74,0.177920217180284
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",3,0.03,4,1,0.8,0.8,0,25,433,0.136343615801217
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",4,0.1,4,1,0.8,0.8,0,25,68,0.183200397336175
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",5,0.03,2,3,0.8,0.8,0,25,213,0.206022067998464
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",6,0.1,2,3,0.8,0.8,0,25,77,0.191908368706488
"XGBoost","Repeat_06_Fold_01",6,"Fold_01",7,0.03,4,3,0.8,0.8,0,25,441,0.188983070639481
