"Algorithm","Run_ID","Repeat","Fold_ID","Fold_Number","Grid_Mean","Grid_SD","Threshold_P90","Threshold_P95","Threshold_P99","Threshold_Mean_Plus_2SD"
"SVM","Repeat_05_Fold_02",5,"Fold_02",2,0.0387966130203037,0.0209544228526911,0.072912601099781,0.0811522815703128,0.0909355802697958,0.0807054587256859
"SVM","Repeat_05_Fold_03",5,"Fold_03",3,0.0396837740234493,0.00519475281605677,0.0472340527154425,0.0488920016758156,0.0512106265048713,0.0500732796555628
"SVM","Repeat_05_Fold_04",5,"Fold_04",4,0.0370994335288757,0.0451191176026046,0.03991354889757,0.0433445515248478,0.188940264153054,0.127337668734085
"SVM","Repeat_05_Fold_05",5,"Fold_05",5,0.0430934761487314,0.040622072098852,0.106992034698541,0.132079043803988,0.167925554553703,0.124337620346436
"SVM","Repeat_06_Fold_01",6,"Fold_01",1,0.0422120357225204,0.0230874939734704,0.0786507778920397,0.0879381943001031,0.100512372641397,0.0883870236694612
"SVM","Repeat_06_Fold_02",6,"Fold_02",2,0.0442332167763401,0.0451480596993208,0.117576078449708,0.14403393142541,0.185258575893967,0.134529336174982
"SVM","Repeat_06_Fold_03",6,"Fold_03",3,0.0372046590871538,0.0299042577641538,0.0834640835979707,0.103477079072168,0.127632431682706,0.0970131746154614
"SVM","Repeat_06_Fold_04",6,"Fold_04",4,0.041533791011558,0.000631078503494812,0.0425976971840993,0.0428830539387564,0.0431945416230962,0.0427959480185476
"SVM","Repeat_06_Fold_05",6,"Fold_05",5,0.0422351966913658,0.0157864950963713,0.0659171195041228,0.0716243600029949,0.079130939126714,0.0738081868841085
"SVM","Repeat_07_Fold_01",7,"Fold_01",1,0.0409040255334483,0.00622621401504572,0.0498630750170432,0.051767925980154,0.0542696700305206,0.0533564535635397
"SVM","Repeat_07_Fold_02",7,"Fold_02",2,0.039283447372681,0.0387201379487687,0.102929079041113,0.121541880081819,0.160545805932761,0.116723723270218
"SVM","Repeat_07_Fold_03",7,"Fold_03",3,0.0322459000189735,0.0228696893939332,0.065900434153099,0.0773785080495403,0.0989823563764346,0.0779852788068398
"SVM","Repeat_07_Fold_04",7,"Fold_04",4,0.0385476689644889,0.0540159217324875,0.0958936629217652,0.141651725756806,0.281411638060029,0.146579512429464
"SVM","Repeat_07_Fold_05",7,"Fold_05",5,0.0350100980701073,0.0422455702655237,0.0890797641470431,0.128234800411426,0.180830111758745,0.119501238601155
"SVM","Repeat_08_Fold_01",8,"Fold_01",1,0.0349460750824428,0.0841761215615597,0.0344855039444797,0.0401894639849731,0.494008721513009,0.203298318205562
"SVM","Repeat_08_Fold_02",8,"Fold_02",2,0.0376558769620131,0.0206888769198665,0.0698482097781069,0.0788692271010682,0.0931426672164775,0.0790336308017462
"SVM","Repeat_08_Fold_03",8,"Fold_03",3,0.0368946309780416,0.0393994991692122,0.0952188426673876,0.121403159894844,0.178480980669758,0.115693629316466
"SVM","Repeat_08_Fold_04",8,"Fold_04",4,0.0408538747001396,0.0919169276826916,0.0683731453338765,0.193412189824157,0.520279573705646,0.224687730065523
"SVM","Repeat_08_Fold_05",8,"Fold_05",5,0.0442675139412687,0.049727340262282,0.119843116784804,0.151289615705522,0.209286551353476,0.143722194465833
"SVM","Repeat_09_Fold_01",9,"Fold_01",1,0.0426894549675404,0.104371477063283,0.0392919597276701,0.0845523689391209,0.706711472795816,0.251432409094105
"SVM","Repeat_09_Fold_02",9,"Fold_02",2,0.0389291976180473,0.110415367397901,0.0356049204722025,0.0518031543553735,0.821815641206973,0.259759932413849
"SVM","Repeat_09_Fold_03",9,"Fold_03",3,0.0446850570574426,0.0567408211068844,0.0861717039559156,0.115260676487208,0.337941432446844,0.158166699271211
"SVM","Repeat_09_Fold_04",9,"Fold_04",4,0.0421030418779869,0.0536352924566109,0.0931992767082399,0.157961709673029,0.297491377055011,0.149373626791209
"SVM","Repeat_09_Fold_05",9,"Fold_05",5,0.0456058636333108,0.0442981679506088,0.111318040343096,0.135920998623521,0.200797466334709,0.134202199534528
"SVM","Repeat_10_Fold_01",10,"Fold_01",1,0.0386980473094477,0.0161128509594148,0.0633249818826061,0.0702840975391059,0.0783901422663521,0.0709237492282772
"SVM","Repeat_10_Fold_02",10,"Fold_02",2,0.0471578584788515,0.0160649314951987,0.0710523789804083,0.0772808332537015,0.085768254063685,0.0792877214692489
"SVM","Repeat_10_Fold_03",10,"Fold_03",3,0.0396450675110493,0.00517995586228715,0.0474950750377384,0.0490412913570119,0.0511035573018114,0.0500049792356236
